iter	Passed	Remaining
399	61975	92963
400	62154	92844
401	62277	92641
402	62449	92511
403	62638	92406
404	62796	92255
405	62919	92055
406	63088	91920
407	63245	91767
408	63407	91622
409	63558	91461
410	63700	91288
411	63865	91147
412	64018	90990
413	64167	90826
414	64321	90669
415	64465	90499
416	64607	90326
417	64771	90184
418	64908	90003
419	65065	89851
420	65228	89708
421	65391	89565
422	65538	89399
423	65668	89210
424	65819	89050
425	65963	88880
426	66115	88722
427	66264	88559
428	66443	88436
429	66598	88282
430	66741	88111
431	66958	88037
432	67129	87904
433	67275	87737
434	67428	87579
435	67585	87426
436	67694	87213
437	67867	87080
438	68025	86930
439	68199	86798
440	68352	86641
441	68493	86469
442	68643	86307
443	68778	86128
444	68903	85935
445	69077	85804
446	69201	85611
447	69353	85453
448	69490	85277
449	69617	85087
450	69765	84924
451	69924	84775
452	70075	84616
453	70217	84446
454	70366	84285
455	70527	84138
456	70674	83974
457	70818	83806
458	70946	83620
459	71112	83479
460	71230	83282
461	71350	83087
462	71462	82884
463	71608	82719
464	71763	82566
465	71906	82398
466	72044	82226
467	72221	82097
468	72370	81937
469	72516	81773
470	72655	81602
471	72803	81440
472	72944	81272
473	73115	81136
474	73257	80968
475	73400	80801
476	73542	80634
477	73704	80489
478	73875	80352
479	74001	80168
480	74121	79977
481	74282	79830
482	74438	79677
483	74573	79504
484	74748	79371
485	74916	79232
486	75065	79072
487	75187	78885
488	75330	78719
489	75452	78532
490	75568	78339
491	75725	78188
492	75869	78024
493	76008	77855
494	76157	77696
495	76304	77535
496	76444	77367
497	76583	77198
498	76731	77038
499	76886	76886
500	77037	76730
501	77204	76589
502	77357	76434
503	77506	76276
504	77648	76111
505	77802	75957
506	77951	75799
507	78083	75623
508	78228	75461
509	78385	75311
510	78535	75154
511	78700	75011
512	78836	74840
513	78974	74672
514	79111	74503
515	79259	74344
516	79388	74167
517	79526	73999
518	79674	73841
519	79829	73688
520	79967	73521
521	80141	73386
522	80283	73222
523	80429	73062
524	80558	72886
525	80679	72703
526	80809	72529
527	80955	72369
528	81106	72214
529	81250	72052
530	81394	71890
531	81524	71717
532	81662	71550
533	81793	71377
534	81917	71199
535	82063	71040
536	82238	70905
537	82403	70763
538	82568	70620
539	82712	70458
540	82835	70280
541	82943	70088
542	83108	69945
543	83271	69801
544	83412	69637
545	83556	69476
546	83724	69336
547	83859	69168
548	84005	69009
549	84158	68856
550	84298	68693
551	84443	68533
552	84593	68378
553	84751	68229
554	84899	68072
555	85052	67919
556	85202	67764
557	85360	67615
558	85512	67461
559	85649	67296
560	85800	67141
561	85916	66959
562	86054	66795
563	86190	66629
564	86352	66484
565	86511	66335
566	86646	66168
567	86779	66001
568	86938	65853
569	87100	65707
570	87241	65545
571	87364	65370
572	87469	65182
573	87619	65027
574	87744	64854
575	87885	64693
576	88027	64533
577	88168	64372
578	88329	64226
579	88495	64083
580	88637	63922
581	88786	63767
582	88930	63608
583	89074	63450
584	89216	63290
585	89374	63141
586	89511	62978
587	89640	62809
588	89778	62646
589	89922	62488
590	90082	62341
591	90224	62182
592	90349	62010
593	90509	61863
594	90648	61701
595	90830	61569
596	90983	61417
597	91156	61278
598	91307	61125
599	91462	60975
600	91602	60814
601	91716	60636
602	91849	60471
603	92069	60363
604	92260	60236
605	92444	60103
606	92615	59963
607	92765	59809
608	92920	59658
609	93062	59498
610	93201	59337
611	93347	59181
612	93477	59014
613	93639	58867
614	93764	58697
615	93928	58552
616	94095	58409
617	94234	58248
618	94388	58097
619	94530	57938
620	94712	57803
621	94861	57649
622	95006	57492
623	95147	57332
624	95308	57184
625	95468	57036
626	95631	56890
627	95817	56758
628	96005	56626
629	96148	56468
630	96308	56319
631	96459	56166
632	96615	56015
633	96777	55868
634	96952	55728
635	97091	55568
636	97224	55404
637	97375	55250
638	97517	55092
639	97645	54925
640	97791	54769
641	97916	54601
642	98086	54458
643	98216	54293
644	98350	54130
645	98489	53970
646	98603	53797
647	98753	53644
648	98896	53486
649	99051	53335
650	99216	53189
651	99375	53041
652	99530	52890
653	99688	52740
654	99821	52577
655	99977	52427
656	100138	52279
657	100307	52135
658	100450	51978
659	100603	51826
660	100784	51688
661	100948	51541
662	101073	51375
663	101246	51233
664	101405	51084
665	101550	50927
666	101681	50764
667	101845	50617
668	101980	50456
669	102126	50301
670	102279	50149
671	102428	49995
672	102573	49838
673	102740	49693
674	102879	49534
675	103043	49387
676	103194	49234
677	103347	49082
678	103524	48941
679	103696	48798
680	103851	48646
681	104020	48502
682	104153	48340
683	104306	48188
684	104444	48029
685	104592	47874
686	104738	47719
687	104904	47573
688	105048	47416
689	105179	47254
690	105329	47100
691	105469	46943
692	105638	46798
693	105807	46652
694	105950	46496
695	106098	46341
696	106235	46182
697	106381	46027
698	106520	45869
699	106643	45704
700	106805	45556
701	106947	45399
702	107096	45245
703	107229	45084
704	107383	44933
705	107532	44779
706	107661	44617
707	107773	44448
708	107928	44297
709	108080	44145
710	108190	43976
711	108317	43813
712	108459	43657
713	108595	43499
714	108718	43335
715	108826	43165
716	108958	43005
717	109093	42847
718	109230	42689
719	109367	42531
720	109526	42382
721	109640	42216
722	109788	42062
723	109931	41907
724	110054	41744
725	110196	41589
726	110352	41438
727	110498	41285
728	110624	41123
729	110773	40971
730	110940	40824
731	111094	40673
732	111256	40526
733	111396	40369
734	111510	40204
735	111655	40050
736	111812	39900
737	111943	39741
738	112060	39577
739	112215	39427
740	112402	39287
741	112563	39139
742	112698	38981
743	112873	38838
744	113015	38683
745	113206	38544
746	113351	38390
747	113490	38234
748	113669	38092
749	113820	37940
750	113972	37788
751	114146	37644
752	114295	37491
753	114460	37343
754	114603	37189
755	114756	37037
756	114915	36888
757	115054	36732
758	115194	36576
759	115324	36418
760	115491	36271
761	115647	36120
762	115821	35976
763	115984	35827
764	116128	35673
765	116305	35529
766	116442	35372
767	116609	35225
768	116789	35082
769	116945	34931
770	117092	34778
771	117237	34624
772	117388	34472
773	117547	34322
774	117672	34163
775	117827	34012
776	117964	33856
777	118145	33712
778	118294	33559
779	118438	33405
780	118549	33242
781	118706	33092
782	118849	32937
783	119044	32798
784	119221	32652
785	119390	32505
786	119528	32350
787	119688	32200
788	119832	32046
789	120017	31903
790	120179	31754
791	120314	31597
792	120459	31444
793	120580	31284
794	120720	31129
795	120867	30976
796	121004	30820
797	121165	30671
798	121311	30517
799	121449	30362
800	121597	30209
801	121751	30058
802	121911	29908
803	122052	29754
804	122201	29601
805	122344	29447
806	122507	29298
807	122645	29143
808	122795	28991
809	122934	28836
810	123069	28680
811	123228	28530
812	123405	28384
813	123561	28233
814	123701	28079
815	123878	27933
816	124065	27789
817	124215	27637
818	124365	27485
819	124517	27333
820	124667	27180
821	124866	27039
822	125041	26892
823	125209	26743
824	125337	26586
825	125489	26434
826	125647	26284
827	125813	26135
828	125949	25979
829	126093	25826
830	126259	25677
831	126403	25523
832	126550	25370
833	126727	25223
834	126883	25072
835	127056	24924
836	127224	24776
837	127355	24619
838	127501	24466
839	127618	24308
840	127776	24157
841	127944	24008
842	128113	23859
843	128226	23700
844	128384	23549
845	128526	23396
846	128683	23245
847	128824	23091
848	128948	22934
849	129073	22777
850	129217	22624
851	129384	22475
852	129530	22322
853	129688	22171
854	129849	22021
855	129980	21865
856	130118	21711
857	130281	21561
858	130400	21404
859	130545	21251
860	130702	21100
861	130858	20949
862	130973	20791
863	131131	20641
864	131266	20486
865	131395	20331
866	131541	20178
867	131689	20026
868	131840	19874
869	131993	19723
870	132123	19568
871	132292	19419
872	132448	19267
873	132594	19115
874	132744	18963
875	132893	18811
876	133028	18657
877	133162	18503
878	133322	18352
879	133466	18199
880	133607	18046
881	133756	17894
882	133931	17746
883	134080	17594
884	134218	17440
885	134372	17289
886	134519	17137
887	134658	16984
888	134841	16836
889	134969	16681
890	135115	16529
891	135277	16378
892	135409	16224
893	135569	16074
894	135747	15925
895	135900	15774
896	136067	15624
897	136201	15470
898	136362	15319
899	136488	15165
900	136645	15014
901	136787	14861
902	136937	14709
903	137121	14561
904	137300	14412
905	137463	14262
906	137645	14113
907	137811	13963
908	137986	13813
909	138145	13662
910	138322	13513
911	138469	13361
912	138620	13209
913	138768	13056
914	138920	12905
915	139092	12755
916	139236	12602
917	139392	12451
918	139551	12299
919	139695	12147
920	139844	11995
921	139986	11842
922	140124	11689
923	140291	11539
924	140448	11387
925	140589	11235
926	140755	11084
927	140916	10933
928	141062	10780
929	141219	10629
930	141376	10477
931	141515	10325
932	141679	10174
933	141855	10024
934	142018	9872
935	142184	9722
936	142364	9572
937	142518	9420
938	142639	9266
939	142777	9113
940	142905	8960
941	143062	8808
942	143216	8656
943	143369	8504
944	143513	8352
945	143725	8204
946	143892	8053
947	144043	7901
948	144216	7750
949	144415	7600
950	144599	7450
951	144760	7298
952	144932	7147
953	145095	6996
954	145248	6844
955	145411	6692
956	145563	6540
957	145733	6389
958	145900	6237
959	146066	6086
960	146218	5933
961	146377	5782
962	146547	5630
963	146698	5478
964	146819	5325
965	146971	5172
966	147131	5021
967	147296	4869
968	147449	4717
969	147616	4565
970	147786	4413
971	147946	4261
972	148091	4109
973	148219	3956
974	148366	3804
975	148521	3652
976	148673	3499
977	148812	3347
978	148971	3195
979	149106	3042
980	149253	2890
981	149415	2738
982	149571	2586
983	149749	2434
984	149924	2283
985	150094	2131
986	150254	1979
987	150437	1827
988	150620	1675
989	150783	1523
990	150960	1370
991	151127	1218
992	151291	1066
993	151459	914
994	151628	761
995	151788	609
996	151910	457
997	152064	304
998	152205	152
999	152376	0
